date,domain_age_days,gsc_impressions,gsc_clicks,gsc_settled,gsc_observed_on,search_referred_human_pageloads,google_referred_pageloads,bing_referred_pageloads,other_search_pageloads,direct_pageloads,other_referral_pageloads,internal_pageloads,human_pageloads,bot_pageloads,feedback_submissions
2026-06-21,0,,,,,,,,,,,,,,0
2026-06-22,1,,,,,,,,,,,,,,0
2026-06-23,2,,,,,,,,,,,,,,0
2026-06-24,3,,,,,,,,,,,,,,0
2026-06-25,4,,,,,,,,,,,,,,0
2026-06-26,5,,,,,,,,,,,,,,0
2026-06-27,6,,,,,,,,,,,,,,0
2026-06-28,7,,,,,,,,,,,,,,0
2026-06-29,8,,,,,,,,,,,,,,0
2026-06-30,9,,,,,,,,,,,,,,0
2026-07-01,10,,,,,,,,,,,,,,0
2026-07-02,11,,,,,,,,,,,,,,0
2026-07-03,12,,,,,,,,,,,,,,0
2026-07-04,13,,,,,,,,,,,,,,0
2026-07-05,14,,,,,,,,,,,,,,0
2026-07-06,15,,,,,,,,,,,,,,0
2026-07-07,16,,,,,,,,,,,,,,0
2026-07-08,17,,,,,,,,,,,,,,0
2026-07-09,18,,,,,,,,,,,,,,0
2026-07-10,19,,,,,,,,,,,,,,0
2026-07-11,20,,,,,,,,,,,,,,0
2026-07-12,21,,,,,,,,,,,,,,0
2026-07-13,22,,,,,,,,,,,,,,0
2026-07-14,23,,,,,,,,,,,,,,0
2026-07-15,24,,,,,,,,,,,,,,0
2026-07-16,25,,,,,,,,,,,,,,0
2026-07-17,26,,,,,,,,,,,,,,0
2026-07-18,27,,,,,,,,,,,,,,0
2026-07-19,28,,,,,,,,,,,,,,0
2026-07-20,29,,,,,,,,,,,,,,0
2026-07-21,30,,,,,,,,,,,,,,0
2026-07-22,31,,,,,,,,,,,,,,0
2026-07-23,32,,,,,,,,,,,,,,0
2026-07-24,33,,,,,,,,,,,,,,0
2026-07-25,34,,,,,,,,,,,,,,0
2026-07-26,35,,,,,,,,,,,,,,0
2026-07-27,36,,,,,,,,,,,,,,0
2026-07-28,37,,,,,,,,,,,,,,0
2026-07-29,38,,,,,,,,,,,,,,0
2026-07-30,39,,,,,,,,,,,,,,0
2026-07-31,40,,,,,,,,,,,,,,0
2026-08-01,41,,,,,,,,,,,,,,0
2026-08-02,42,,,,,,,,,,,,,,0
2026-08-03,43,,,,,,,,,,,,,,0
2026-08-04,44,,,,,,,,,,,,,,0
2026-08-05,45,,,,,,,,,,,,,,0
2026-08-06,46,,,,,,,,,,,,,,0
2026-08-07,47,,,,,,,,,,,,,,0
2026-08-08,48,,,,,,,,,,,,,,0
2026-08-09,49,100,3,1,2026-08-17,,,,,,,,,,0
2026-08-10,50,155,4,1,2026-08-17,,,,,,,,,,0
2026-08-11,51,106,6,1,2026-08-19,,,,,,,,,,0
2026-08-12,52,76,0,1,2026-08-19,,,,,,,,,,0
2026-08-13,53,101,1,1,2026-08-19,,,,,,,,,,0
2026-08-14,54,55,3,1,2026-08-19,,,,,,,,,,0
2026-08-15,55,51,2,1,2026-08-19,,,,,,,,,,0
2026-08-16,56,45,3,1,2026-08-19,,,,,,,,,,0
2026-08-17,57,84,2,0,2026-08-19,,,,,,,,,,0
2026-08-18,58,,,,,,,,,,,,,,0
2026-08-19,59,,,,,,,,,,,,,,0
